code,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30
sh.600028,0.0,97073758.0,-49542560.0,-49542560.0,59833351.0,-2194267.0,64689299.0,164273999.0,257525230.0,316516647.0,397946976.0,273429399.0,389413726.0,301397761.0,373619507.0,479365670.0,577200777.0,713786426.0,919688200.0,800280550.0,643908465.0,463078300.0,627639423.0,451763509.0,348002085.0,225773878.0,311502643.0,169954306.0,286618710.0,109905342.0,208024347.0,108124032.0,217455363.0,85789426.0,227558917.0,313089220.0,471201040.0,259707743.0,451183529.0,225580364.0,750312887.0,1353100037.0,997888392.0,1317729271.0,1072955303.0,1255151428.0,1076890396.0,940575242.0,782697877.0,979429529.0,741743615.0,895667825.0,734181895.0,589638963.0,477433374.0,324429307.0,42480824.0,-113764243.0
sh.600030,0.0,-97703187.0,-194320201.0,-269380206.0,-326625279.0,-261892781.0,-315891183.0,-360963764.0,-313491318.0,-359993643.0,-276479143.0,-321811273.0,-365117115.0,-406775732.0,-444699891.0,-494941439.0,-426285562.0,-485126841.0,-485126841.0,-518496914.0,-431864506.0,-289706363.0,-355101783.0,-304229900.0,-304229900.0,-356619378.0,-474232195.0,-547133680.0,-600207092.0,-554166306.0,-588291902.0,-542141910.0,-504209303.0,-405270451.0,-468190152.0,-414539063.0,-127622724.0,173109099.0,482429411.0,762364129.0,1157281582.0,1304802922.0,2656258062.0,1881587650.0,2367586697.0,1917167615.0,1639066762.0,1379577557.0,1173058190.0,1744241092.0,1380843403.0,1604645476.0,1325280516.0,1162378262.0,1328950347.0,1194377152.0,1007485526.0,1201960842.0
sh.600031,0.0,-21598620.0,-53617570.0,-23690811.0,-50134712.0,-70416526.0,-28030767.0,-44204317.0,-71386064.0,-100531815.0,-67123406.0,-83198421.0,-52804475.0,-29367021.0,-29367021.0,-55636465.0,-15101902.0,20116720.0,51078014.0,77172394.0,34393590.0,107765464.0,170702451.0,199838252.0,172258399.0,198608198.0,167069948.0,78293155.0,121863657.0,156461579.0,129979508.0,93782933.0,147225575.0,85776016.0,125675195.0,176484999.0,245019628.0,317011120.0,388438130.0,473679970.0,722527636.0,976779048.0,779353308.0,915983331.0,831567449.0,954533592.0,883393200.0,820523888.0,745725388.0,850198648.0,765230993.0,835801005.0,767539936.0,703852897.0,771972104.0,853286104.0,794995021.0,744097560.0
sh.600036,0.0,-38613024.0,-97055008.0,-148493872.0,-187567045.0,-148107067.0,-99832220.0,-131726541.0,-159964310.0,-188208920.0,-114229937.0,-72379635.0,-30095293.0,12277580.0,-25532525.0,12753874.0,59312600.0,94430060.0,55709203.0,14185995.0,-37452787.0,-148675770.0,-204477835.0,-255053023.0,-293105613.0,-347311958.0,-308993744.0,-396101091.0,-443703448.0,-485282824.0,-444256127.0,-394658684.0,-352804657.0,-397923783.0,-349182028.0,-314721156.0,-178599356.0,7024923.0,181557922.0,256103704.0,512204964.0,809508832.0,623915622.0,767245463.0,676897883.0,806191722.0,710594069.0,811848884.0,726956656.0,819776089.0,748022143.0,808074753.0,870784721.0,837153501.0,792360382.0,725896288.0,777364449.0,707023621.0
sh.600048,0.0,-97749193.0,-227859493.0,-101852749.0,-167689192.0,-41957590.0,137560410.0,23854824.0,-37904115.0,-88902725.0,20460091.0,-57675519.0,-57675519.0,-136882182.0,-250721580.0,-127105391.0,-221762479.0,-104576577.0,-191547180.0,-255648689.0,-255648689.0,40015676.0,-89400727.0,33120440.0,-106703509.0,-15174144.0,-85767688.0,-160311888.0,-254823059.0,-184960817.0,-235426320.0,-300593221.0,-178246916.0,24073162.0,208371781.0,343688412.0,622940880.0,897697567.0,1247675631.0,1694306345.0,2330284081.0,1644163325.0,1249031281.0,1581983553.0,1864159239.0,2227986099.0,2518075518.0,2927233656.0,2546351947.0,2836800010.0,3070611723.0,3241664190.0,3094058172.0,2981741954.0,2866409288.0,2989318899.0,2864362815.0,3014224743.0
sh.600050,0.0,203394759.0,21922553.0,-167327418.0,-263620010.0,-178173753.0,-299280812.0,-401944788.0,-305211712.0,-199506384.0,-70361759.0,252807795.0,439203804.0,312887682.0,312887682.0,312887682.0,457815486.0,457815486.0,585077697.0,475253868.0,334059807.0,139278055.0,13757076.0,125529286.0,233066928.0,107688926.0,21139044.0,-97083162.0,-11752692.0,-113130469.0,-222382616.0,-222382616.0,-127917297.0,-259016789.0,-109497095.0,-109497095.0,127916769.0,430357818.0,689003277.0,872828606.0,1475203980.0,2195934543.0,1728491964.0,2303409644.0,1938175599.0,2186663398.0,1980264861.0,1980264861.0,1795024365.0,2047336201.0,1773201675.0,1548783685.0,1548783685.0,1306971109.0,1473813786.0,1754058954.0,1561045163.0,1401337976.0
sh.600089,0.0,-22079631.0,-49300205.0,-27385240.0,-2543230.0,-18527220.0,-32052983.0,-19362051.0,-38343548.0,-60087292.0,-39307714.0,-53986023.0,-70199650.0,-92704516.0,-110297134.0,-139358744.0,-155560303.0,-137930748.0,-167409939.0,-148452840.0,-130589700.0,-102730251.0,-125320571.0,-107414531.0,-124131581.0,-110242552.0,-121698466.0,-142542571.0,-168366712.0,-151472901.0,-137481360.0,-151808103.0,-138599778.0,-118543768.0,-97270321.0,-113274060.0,-72443598.0,-21138499.0,24701718.0,74692803.0,233186223.0,449358250.0,325393107.0,392324919.0,343139093.0,393534734.0,334120079.0,286319275.0,227634665.0,296693619.0,369952481.0,433969642.0,591954918.0,525584125.0,698095962.0,582895870.0,769132252.0,679298288.0
sh.600104,0.0,-12945335.0,-30595295.0,-50602687.0,-61075477.0,-71688977.0,-85330048.0,-96111432.0,-108689319.0,-127860351.0,-108581050.0,-129211895.0,-106625666.0,-126198533.0,-140484556.0,-157882384.0,-141243282.0,-156086782.0,-166379632.0,-181492422.0,-181492422.0,-152450307.0,-176714543.0,-159280012.0,-173272462.0,-157618785.0,-137332504.0,-152171404.0,-175132906.0,-158126148.0,-174406222.0,-192186237.0,-176020618.0,-160193122.0,-137777754.0,-127657142.0,-100556558.0,-65264798.0,-29045679.0,-4738949.0,73452917.0,175064897.0,105764504.0,160428410.0,130494946.0,95626745.0,64767990.0,37160677.0,10405285.0,52378247.0,9689665.0,47332890.0,86869068.0,58098436.0,83955203.0,113296142.0,85203196.0,62984414.0
sh.600150,0.0,-31876109.0,-80156073.0,-42416991.0,-17251763.0,-50054686.0,-77435191.0,-101217966.0,-59564672.0,-36759734.0,-11957182.0,-31411285.0,-13600196.0,-34980121.0,-17591761.0,842842.0,-20224875.0,1866705.0,-15005594.0,19740804.0,-937214.0,-42178326.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-133023814.0,-19368361.0,-104686291.0,-44241285.0,43188564.0,133126282.0,206779374.0,261920700.0,392750051.0,543952171.0,440952407.0,569267889.0,482472004.0,567900391.0,503448902.0,444287666.0,367981501.0,452245552.0,374738310.0,319296255.0,400276035.0,339562574.0,393321716.0,450078617.0,396622645.0,452400781.0
sh.600276,0.0,25582033.0,57940836.0,79712349.0,61983004.0,78471662.0,62873235.0,96156724.0,73433105.0,59248432.0,80673087.0,96367367.0,72400077.0,87798799.0,104030097.0,157764847.0,130013967.0,105491469.0,128118223.0,107495535.0,138018539.0,106690502.0,80889656.0,112537624.0,91279904.0,111143765.0,96996195.0,122597879.0,102679588.0,131837426.0,113179611.0,93669877.0,111177782.0,88776630.0,21861031.0,21861031.0,65189085.0,108571586.0,156264924.0,194327009.0,296175220.0,415434713.0,325375645.0,383903711.0,334361508.0,373945631.0,337619272.0,297880456.0,332176767.0,385849362.0,433034540.0,473142288.0,436082556.0,345927844.0,251612958.0,308727062.0,268957023.0,221408529.0
