code,sh.600028,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600089,sh.600104,sh.600150,sh.600276,sh.600309,sh.600406,sh.600436,sh.600438,sh.600690,sh.600809,sh.600887,sh.600900,sh.600941,sh.601012,sh.601088,sh.601166,sh.601225,sh.601288,sh.601318,sh.601328,sh.601390,sh.601398,sh.601601,sh.601628,sh.601633,sh.601658,sh.601668,sh.601669,sh.601728,sh.601857,sh.601888,sh.601899,sh.601919,sh.601985,sh.601988,sh.603259,sh.603288,sh.603501,sh.603986,sh.688012,sh.688041,sh.688111,sh.688981
sh.600028,0.0,651.7298321742104,256.294699598005,452.66044092773836,698.4206432099589,386.61392805075656,667.6295958467982,793.6121629158594,641.6907492539032,303.991904347085,548.8546153808803,490.2979600042286,471.93937113322994,570.0836915543383,624.9133951207481,456.9322752664972,719.3293942260971,328.50473658463915,254.86280263253127,645.9851804393668,204.46604366159903,298.45770988796284,269.45571318535144,243.58629804955967,448.1792587654427,469.4953675781289,640.5964694597158,291.46203218424296,597.4632611037014,463.9140112167145,538.1952849624618,277.7968837479958,379.174071353881,809.6173416481156,231.59158448642856,235.22973160451974,708.0112228103764,426.9991599115292,510.37195701087876,305.2341995544747,205.2764490671644,754.060123152022,502.1123669832491,606.6756947498798,820.6623037788477,842.3696097800002,483.10723797804775,610.9037416315165,649.3870151504383
sh.600030,651.7298321742104,0.0,395.2747086245886,612.6391268460412,230.35567106810902,578.9245946304886,319.2503346473629,448.5952247824324,545.7297212152259,389.52880017324065,228.46074093362932,240.93488368637364,289.6202744821434,520.3728357884759,230.78676603334137,374.5240837647823,262.4927137536533,546.2907735048052,447.40004109705984,297.98154876116223,504.0165063289401,400.7623581807204,423.8600853624002,575.4601195043565,323.9850300007707,874.8924565312614,491.1122190103196,646.6814825693724,290.7727096624473,304.299582599793,169.0692087694948,587.5444712072258,443.5337046359866,571.5706319119345,664.1260164848821,526.2304738359948,371.5432807255609,365.84763550806633,234.57988777530417,591.9486331777904,638.377659466903,283.98017661307824,199.03422200743688,226.39553224312726,310.64319157633884,374.47843183042613,263.9088879224507,229.20280943299463,335.75741516276196
sh.600031,256.294699598005,395.2747086245886,0.0,417.44175751795166,584.4885887671446,325.4781434813918,654.3457499041914,820.5865834115884,616.9581782387363,253.92617090010557,475.2203315843982,351.5192041855324,408.9538517689055,501.70507743791615,415.27651891977797,494.2067191171908,630.3085640522411,434.4766546019745,254.18407317955655,445.60520344410224,197.0477069441462,243.09222111918845,182.37784396005443,305.59633857120645,218.29022594668834,672.0728513319904,664.5024296631944,443.38703176068316,284.76260689154,499.11127284013,281.37255497670134,371.69280643858,341.2896008662643,873.9381408674097,229.11616598046214,326.85059601340987,778.8219557992601,329.71659702591444,369.2013033210208,374.5074209961496,381.60237442033844,564.9674036089846,329.68568088174027,560.6907889881155,771.8145392910325,783.9749883558816,261.83682299905246,558.5082877907621,552.3036001745091
sh.600036,452.66044092773836,612.6391268460412,417.44175751795166,0.0,459.09554047257296,222.16562149536182,591.1353864025482,652.0049277240764,389.3552221917322,483.68816769388326,513.7486250134681,519.84274634349,590.1364409919082,678.2117133317274,545.9316352325205,313.567898308512,524.8183774711592,564.8243674215502,363.7055352715542,722.0652069258764,315.4757689849741,167.02481313190734,348.3148222544807,382.95808169859487,423.8034939332603,320.48997921094804,263.4994693577417,251.0147575565262,632.5471087469202,637.9212020153584,592.1753543380598,208.70771316648293,169.8203228106622,332.8681953963975,369.4523614304178,311.35821942705604,576.9179685473832,197.60142707942794,401.6203871128462,289.55320225216093,410.72851307277256,525.3519155254953,413.9636900895463,579.5044566339867,539.9114436447328,614.6646795362292,443.4557053156611,485.06549891098166,355.79173358943615
sh.600048,698.4206432099589,230.35567106810902,584.4885887671446,459.09554047257296,0.0,598.8997813585821,226.9670997481107,389.0113281113622,524.5287494652424,634.9781327307326,337.877648205579,381.01922541525477,305.0013796727656,514.4963088458053,260.59344658090265,379.6447730980442,258.3984954564915,575.3422539169903,517.4619643527158,243.70825458838604,557.5974251651952,479.2748748451041,524.0119124183448,569.4967637519196,505.26864023637506,824.1381630988753,392.16024257041374,583.3953808145905,297.9671724553227,359.0289238543263,275.2879484654807,617.2710348629474,347.46681377291094,414.4564682286879,687.3488410635396,503.63410077366467,331.84159676967846,356.2120575547968,289.31892109775504,529.3903787319321,677.8458881826194,244.13436912903188,327.2523435199249,246.81869583128048,266.9720165181034,275.9981432598022,350.8977262477778,230.83645274956535,224.90239749381482
sh.600050,386.61392805075656,578.9245946304886,325.4781434813918,222.16562149536182,598.8997813585821,0.0,619.2977626457797,605.6683738284302,295.54848418303277,313.0478957540329,449.7109699737139,459.21106222500686,498.689737277472,684.7811979518455,515.1051571904306,313.2346700592632,634.1318667815451,396.2213431287696,253.19910297163014,516.2151781749919,254.95577957551012,194.9660840352145,314.7751431882241,432.9339165417336,398.77652028344755,386.41671253754555,316.9757200984212,294.85121972660403,513.2623928264978,648.0426446952614,441.8696479612069,302.08218794503637,150.23360606035715,405.4735394426017,312.82802392842444,235.19581386288206,541.9546285644342,163.59633542957843,340.6117666194193,207.36075701907683,426.2265204631363,574.0565528532569,418.5013446890632,541.5278842256394,590.5362750405417,682.859746115715,471.5280403116234,491.27308526753757,428.23887440774774
sh.600089,667.6295958467982,319.2503346473629,654.3457499041914,591.1353864025482,226.9670997481107,619.2977626457797,0.0,245.46381689372896,490.6954728781519,759.9535610879092,325.1322766894206,378.89458292468316,245.0837513594212,463.7183058610591,223.42395592689275,272.5197057917093,163.85928768841407,522.9580967575749,506.8427773077516,231.76499946794712,524.5651785276843,498.7809693411045,530.9428063876016,547.2359475607668,726.524226187215,829.6287419054111,393.25605623702086,681.2084065447162,303.8677962859607,458.054622099589,264.7384168968304,624.1366671961157,395.61395212895115,404.6609424970747,645.3726963479296,528.2735108977839,266.8546915879109,526.5049538355413,326.62508242353607,490.1238868505072,698.1861607687617,177.1722975340775,337.06534125382524,200.55893423345435,192.87302998464617,199.70253457630878,584.1618103683866,210.12889249293133,376.564427858013
sh.600104,793.6121629158594,448.5952247824324,820.5865834115884,652.0049277240764,389.0113281113622,605.6683738284302,245.46381689372896,0.0,374.76105747483325,920.9015887751592,341.6087841614581,583.4940967682287,446.1474417193617,749.9333102535468,227.64245561652973,296.9437724047744,239.17571303198193,595.0663799252519,564.7300648669942,347.09216166721075,677.2778901587266,618.7828234704996,715.1345306872316,736.1472085171238,928.2554751811876,745.0654259546177,408.4622324618617,667.0165051596186,542.024784362683,651.5379392607001,378.3544079180836,674.4151012325863,484.58592103078973,376.37294936261105,839.883979981004,572.0867647902111,209.71650323592243,577.3383526903788,430.83661422782006,532.5442112763276,834.8186485488973,243.54574653929123,370.6341146774149,328.8144679545807,181.44258476077667,242.9279591504055,776.4735273211963,340.39024038479073,520.0186732306995
sh.600150,641.6907492539032,545.7297212152259,616.9581782387363,389.3552221917322,524.5287494652424,295.54848418303277,490.6954728781519,374.76105747483325,0.0,571.9297522976362,242.53598001413215,575.6291518952036,424.73948126531246,608.0059698672384,508.60492460306796,338.5113243639573,423.4982000310308,382.6737493976426,392.81596026635293,465.74575876323513,512.1374983480193,437.9907080545813,533.4508655661538,689.9054614505291,720.3240195336324,541.3954728424436,228.47039700351442,480.4015912239473,574.5356102166121,679.1420649008616,539.6971828035907,521.7023453608793,390.9677425272784,264.2966739456349,612.3022784230659,373.04534047505217,363.96666924954513,299.21924653848856,337.14630727995797,342.7832775967494,679.8572550476052,367.259211513688,426.14727221923533,529.4426098788418,420.98429808729605,483.43541874219494,609.3546070020735,389.7546971904935,502.9819682673961
sh.600276,303.991904347085,389.52880017324065,253.92617090010557,483.68816769388326,634.9781327307326,313.0478957540329,759.9535610879092,920.9015887751592,571.9297522976362,0.0,399.49938175016445,353.5416129407586,455.35740821700676,419.0287791287767,412.7035243165344,478.2756250055912,722.4936406471061,350.8079551964851,249.06509789171457,487.1688485555409,224.53916927686055,329.59854416075325,201.37499315025843,468.91606579169184,311.9134003304265,722.0249251986921,734.9933887838278,527.2447296939197,308.05219043412353,545.4466814808372,283.6593878165991,490.91236043838103,391.6662258581635,1000.3185470534087,255.83008293350105,359.0141215339734,837.3508593334843,336.7226491595346,435.707325651769,360.4076003787134,456.0763899401514,582.1721224960935,264.8706450615065,646.3975805107199,864.0062953184072,862.6038408152856,268.8779653125853,595.5707753123851,622.9061644692251
